"from","to","coefficient"
"PracticeStyle","TreatmentIntensity",0.45
"BaselineSeverity","TreatmentIntensity",0.7
"ChronicBurden","TreatmentIntensity",0.35
"SocialRisk","TreatmentIntensity",0.25
"Age","TreatmentIntensity",-0.1
"BaselineSeverity","Inflammation",0.65
"ChronicBurden","Inflammation",0.45
"TreatmentIntensity","Inflammation",-0.2
"SocialRisk","Inflammation",0.15
"Inflammation","Coagulation",0.6
"ChronicBurden","Coagulation",0.2
"ChronicBurden","RenalStress",0.5
"Inflammation","RenalStress",0.4
"Age","RenalStress",0.15
"TreatmentIntensity","RenalStress",0.2
"BaselineSeverity","PerfusionDeficit",0.75
"Inflammation","PerfusionDeficit",0.45
"TreatmentIntensity","PerfusionDeficit",-0.25
"BaselineSeverity","OxygenDeficit",0.55
"PerfusionDeficit","OxygenDeficit",0.35
"Inflammation","OxygenDeficit",0.25
"TreatmentIntensity","OxygenDeficit",-0.4
"PerfusionDeficit","Lactate",0.65
"Inflammation","Lactate",0.35
"OxygenDeficit","Lactate",0.25
"RenalStress","EndOrganStress",0.45
"Coagulation","EndOrganStress",0.35
"Lactate","EndOrganStress",0.3
"PerfusionDeficit","ShockIndexProxy",0.9
"Lactate","ShockIndexProxy",0.75
"OxygenDeficit","ShockIndexProxy",0.35
"TreatmentIntensity","VasopressorProxy",0.65
"PerfusionDeficit","VasopressorProxy",0.5
"ShockIndexProxy","VasopressorProxy",0.45
"ChronicBurden","MonitoringProxy",0.45
"EndOrganStress","MonitoringProxy",0.65
"ShockIndexProxy","MonitoringProxy",0.35
"VasopressorProxy","RescueProxy",0.6
"MonitoringProxy","RescueProxy",0.35
"ShockIndexProxy","RescueProxy",0.45
"ShockIndexProxy","CompositeScoreProxy",0.55
"EndOrganStress","CompositeScoreProxy",0.45
"RescueProxy","CompositeScoreProxy",0.4
"BaselineSeverity","AcuteRisk",1.3
"ChronicBurden","AcuteRisk",0.8
"SocialRisk","AcuteRisk",0.5
"TreatmentIntensity","AcuteRisk",-0.7
"Inflammation","AcuteRisk",0.75
"Coagulation","AcuteRisk",0.45
"RenalStress","AcuteRisk",0.55
"PerfusionDeficit","AcuteRisk",0.85
"OxygenDeficit","AcuteRisk",0.55
"Lactate","AcuteRisk",0.7
"EndOrganStress","AcuteRisk",0.65
