"from","to"
"age","BMI"
"age","min_Hgb"
"age","min_Alb"
"age","min_pH"
"age","max_Lactate"
"age","max_HR"
"age","min_HR"
"age","min_sbp"
"age","min_O2_sat"
"age","min_Braden_Activity"
"age","min_Braden_Mobility"
"age","Vasopressors"
"age","pri"
"BMI","min_Alb"
"BMI","min_sbp"
"BMI","min_Braden_Mobility"
"BMI","min_Braden_Activity"
"BMI","pri"
"min_Hgb","Vasopressors"
"min_Hgb","pri"
"min_Alb","Vasopressors"
"min_Alb","pri"
"max_Lactate","Vasopressors"
"max_Lactate","pri"
"min_pH","Vasopressors"
"min_pH","pri"
"max_HR","Vasopressors"
"max_HR","pri"
"min_HR","pri"
"min_sbp","Vasopressors"
"min_sbp","pri"
"min_O2_sat","Vasopressors"
"min_O2_sat","pri"
"max_WBC","Vasopressors"
"max_WBC","pri"
"max_temp","pri"
"min_Braden_Activity","pri"
"min_Braden_Mobility","pri"
"Vasopressors","pri"
