feature,standard_shap,causal_shap,true_total_effect,true_abs_total_effect,role,true_abs_total_effect_scaled,standard_rank,causal_rank,truth_rank,standard_rank_error,causal_rank_error
BaselineSeverity,0.4929811648703647,2.0507400026906217,3.52666965625,3.52666965625,Root cause,1.9684559839373,4,1,1,3,0
ChronicBurden,0.19229613016759042,1.5609966678589011,1.96463521875,1.96463521875,Root cause,1.09658639156881,9,2,3,6,1
Inflammation,0.6704598664569575,1.3029759717033917,2.766340625,2.766340625,Mediator,1.5440685654352888,3,3,2,1,1
PerfusionDeficit,0.045565279011139624,1.1773993839063401,1.7025625,1.7025625,Mediator,0.9503071361426861,14,4,5,9,1
Lactate,0.05588495534668676,0.40353144688060233,0.895,0.895,Mediator,0.4995557501399826,13,5,6,7,1
SocialRisk,0.235428483556438,0.39302824382941703,0.45997390625,0.45997390625,Root cause,0.2567403461246221,7,6,12,5,6
OxygenDeficit,0.23047453157972544,0.32563995265256,0.77375,0.77375,Mediator,0.4318785046601247,8,7,9,1,2
CompositeScoreProxy,1.8417445983806298,0.3251524090987466,0.0,0.0,Downstream proxy,0.0,1,8,14,13,6
EndOrganStress,0.025091526836914995,0.28841649472755154,0.65,0.65,Mediator,0.36280585205697063,17,9,11,6,2
Age,0.02636218042246299,0.2789667323999438,0.308365875,0.308365875,Root cause,0.1721183754225666,16,10,13,3,3
PracticeStyle,0.1306606094274483,0.2701307868341111,-0.8189589375,0.8189589375,Root cause,0.45711245402978284,11,11,8,3,3
RescueProxy,0.038063907241714184,0.2594786993416894,0.0,0.0,Downstream proxy,0.0,15,12,14,1,2
VasopressorProxy,0.09569817760808394,0.23822442691875167,0.0,0.0,Downstream proxy,0.0,12,13,14,2,1
MonitoringProxy,0.8648181017297133,0.21377380222876366,0.0,0.0,Downstream proxy,0.0,2,14,14,12,0
Coagulation,0.16290303475068424,0.1536404952728246,0.6775,0.6775,Mediator,0.378155330413227,10,15,10,0,5
TreatmentIntensity,0.2606978295415816,0.130641398587094,-1.81990875,1.81990875,Treatment,1.0158054533995173,5,16,4,1,12
RenalStress,0.2502942629018521,0.11805176454957972,0.8425,0.8425,Mediator,0.4702522005507658,6,17,7,1,10
ShockIndexProxy,0.022347977148089542,0.11305366440075382,0.0,0.0,Downstream proxy,0.0,18,18,14,4,4
