"feature","true_total_effect","true_abs_total_effect","role"
"BaselineSeverity",3.52666965625,3.52666965625,"Root cause"
"Inflammation",2.766340625,2.766340625,"Mediator"
"ChronicBurden",1.96463521875,1.96463521875,"Root cause"
"TreatmentIntensity",-1.81990875,1.81990875,"Treatment"
"PerfusionDeficit",1.7025625,1.7025625,"Mediator"
"Lactate",0.895,0.895,"Mediator"
"RenalStress",0.8425,0.8425,"Mediator"
"PracticeStyle",-0.8189589375,0.8189589375,"Root cause"
"OxygenDeficit",0.77375,0.77375,"Mediator"
"Coagulation",0.6775,0.6775,"Mediator"
"EndOrganStress",0.65,0.65,"Mediator"
"SocialRisk",0.45997390625,0.45997390625,"Root cause"
"Age",0.308365875,0.308365875,"Root cause"
"CompositeScoreProxy",0,0,"Downstream proxy"
"MonitoringProxy",0,0,"Downstream proxy"
"RescueProxy",0,0,"Downstream proxy"
"ShockIndexProxy",0,0,"Downstream proxy"
"VasopressorProxy",0,0,"Downstream proxy"
